Order,Name,Kind,Gateway,Created At,Status,Amount,Currency,Card Type
5045247836271,#51322,capture,shopify_payments,31-07-2023 20:58,success,32,USD,master
5045220114543,#51321,capture,shopify_payments,31-07-2023 20:03,success,48.38,USD,visa
5045177712751,#51320,capture,shopify_payments,31-07-2023 18:35,success,33.59,USD,visa
5045121745007,#51319,capture,shopify_payments,31-07-2023 16:58,success,33.86,USD,american_express
5045111980143,#51318,capture,shopify_payments,31-07-2023 16:40,success,59.68,USD,master
5045072625775,#51316,capture,shopify_payments,31-07-2023 15:34,success,61.98,USD,master
5045070528623,#51315,capture,shopify_payments,31-07-2023 15:29,success,32.19,USD,visa
5045067284591,#51314,capture,shopify_payments,31-07-2023 15:23,success,55.78,USD,discover
5045060272239,#51313,capture,shopify_payments,31-07-2023 15:10,success,60.01,USD,visa
5045055520879,#51312,capture,shopify_payments,31-07-2023 15:01,success,24.65,USD,visa
5044963213423,#51311,capture,shopify_payments,31-07-2023 12:34,success,33.7,USD,master
5044909310063,#51310,capture,shopify_payments,31-07-2023 10:55,success,61.98,USD,visa
5044845445231,#51309,capture,shopify_payments,31-07-2023 08:38,success,29.49,USD,visa
5044837548143,#51308,capture,shopify_payments,31-07-2023 08:14,success,32.13,USD,american_express
5044833648751,#51307,capture,shopify_payments,31-07-2023 08:01,success,51.1,USD,master
5044833648751,#51307,refund,shopify_payments,31-07-2023 16:33,success,51.1,USD,master
5044741636207,#51306,capture,shopify_payments,31-07-2023 04:52,success,65.85,USD,american_express
5044616429679,#51305,capture,stripe,31-07-2023 00:05,success,27.99,USD,master
5044616396911,#51304,capture,stripe,31-07-2023 00:05,success,27.99,USD,american_express
5044616364143,#51303,capture,stripe,31-07-2023 00:05,success,27.99,USD,master
5044616331375,#51302,capture,stripe,31-07-2023 00:05,success,29.95,USD,visa
5044616298607,#51301,capture,stripe,31-07-2023 00:05,success,32.06,USD,visa
5044616265839,#51300,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044616167535,#51299,capture,stripe,31-07-2023 00:05,success,31.26,USD,visa
5044616134767,#51298,capture,stripe,31-07-2023 00:05,success,27.99,USD,discover
5044616101999,#51297,capture,stripe,31-07-2023 00:05,success,29.49,USD,master
5044616069231,#51296,capture,stripe,31-07-2023 00:05,success,28.27,USD,visa
5044616036463,#51295,capture,stripe,31-07-2023 00:05,success,24.19,USD,visa
5044616003695,#51294,capture,stripe,31-07-2023 00:05,success,29.49,USD,visa
5044615970927,#51293,capture,stripe,31-07-2023 00:05,success,30.23,USD,visa
5044615938159,#51292,capture,stripe,31-07-2023 00:05,success,29.11,USD,master
5044615905391,#51291,capture,stripe,31-07-2023 00:05,success,27.99,USD,master
5044615872623,#51290,capture,stripe,31-07-2023 00:05,success,26.21,USD,visa
5044615839855,#51289,capture,stripe,31-07-2023 00:05,success,30.75,USD,master
5044615807087,#51288,capture,stripe,31-07-2023 00:05,success,27.99,USD,master
5044615774319,#51287,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044615741551,#51286,capture,stripe,31-07-2023 00:05,success,62.32,USD,visa
5044615708783,#51285,capture,stripe,31-07-2023 00:05,success,27.99,USD,master
5044615676015,#51284,capture,stripe,31-07-2023 00:05,success,30.65,USD,master
5044615643247,#51283,capture,stripe,31-07-2023 00:05,success,29.03,USD,visa
5044615610479,#51282,capture,stripe,31-07-2023 00:05,success,27.39,USD,american_express
5044615577711,#51281,capture,stripe,31-07-2023 00:05,success,30.4,USD,visa
5044615512175,#51280,capture,stripe,31-07-2023 00:05,success,29.49,USD,discover
5044615479407,#51279,capture,stripe,31-07-2023 00:05,success,27.39,USD,master
5044615446639,#51278,capture,stripe,31-07-2023 00:05,success,31.55,USD,visa
5044615413871,#51277,capture,stripe,31-07-2023 00:05,success,29.53,USD,visa
5044615348335,#51276,capture,stripe,31-07-2023 00:05,success,28.27,USD,visa
5044615282799,#51275,capture,stripe,31-07-2023 00:05,success,30.02,USD,master
5044615250031,#51274,capture,stripe,31-07-2023 00:05,success,29.53,USD,visa
5044615217263,#51273,capture,stripe,31-07-2023 00:05,success,27.99,USD,master
5044615184495,#51272,capture,stripe,31-07-2023 00:05,success,62.35,USD,discover
5044615184495,#51272,refund,stripe,03-08-2023 11:14,success,62.35,USD,discover
5044615151727,#51271,capture,stripe,31-07-2023 00:05,success,27.99,USD,master
5044615118959,#51270,capture,stripe,31-07-2023 00:05,success,24.19,USD,american_express
5044615086191,#51269,capture,stripe,31-07-2023 00:05,success,31.71,USD,master
5044615053423,#51268,capture,stripe,31-07-2023 00:05,success,29.31,USD,discover
5044615020655,#51267,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044614987887,#51266,capture,stripe,31-07-2023 00:05,success,29.95,USD,discover
5044614955119,#51265,capture,stripe,31-07-2023 00:05,success,26.06,USD,visa
5044614922351,#51264,capture,stripe,31-07-2023 00:05,success,29.88,USD,master
5044614889583,#51263,capture,stripe,31-07-2023 00:05,success,29.49,USD,visa
5044614856815,#51262,capture,stripe,31-07-2023 00:05,success,29.95,USD,visa
